r01		r02		r03		r10		r12		r13		r20		r21		r23		r30		r31		r32		
6026		5989		3539		6007		3909		3614		5881		3933		2547		3511		3619		2477		
6030		5961		3549		6007		3938		3605		Err		3914		2514		3544		3586		2524		
5998		5942		3525		6012		3877		3595		5965		3919		Err		3548		3595		2542		
6002		5933		3539		6021		3923		3600		5956		3956		2500		3544		3628		2486		
6030		5961		3530		6007		3966		3600		5904		3923		2509		3521		3600		2533		
5984		5923		Err		Err		3928		3642		5989		3942		2607		3521		3609		2538		
6002		5937		3544		5998		3928		3619		5984		3886		2575		3507		3628		2528		
6026		5956		3567		5998		3877		3619		5961		3909		2477		3562		3609		2542		
6016		5895		3548		6007		3867		3628		6002		3919		2509		3535		3614		2524		
6012		5970		3548		5988		3938		3600		5947		3905		2547		3535		3628		2528		
5993		5979		3539		6002		3961		3651		Err		3905		2533		Err		3605		2495		
6049		5909		Err		6002		3961		3623		5975		3928		Err		3549		3605		2552		
5988		5914		3553		5993		3933		3605		5848		3872		2472		3525		3614		2481		
5998		5975		3544		5998		3900		3614		5886		3900		2514		3525		3609		2505		
Err		5904		3553		6035		3895		3656		5881		3905		2514		3553		3609		2706		
6012		5923		3530		6007		3895		3642		5970		3919		2519		3549		3600		2519		
6016		5890		3535		5988		3900		3623		5886		3928		2514		3507		3619		2542		
5998		5923		3544		6035		3905		3642		5900		3905		2519		3535		3614		2519		
6021		5998		3544		6016		3881		3619		5867		3900		2514		3530		3633		2542		
6016		5975		3539		6026		3923		3605		5895		3891		2533		3525		3614		2509		
6049		5890		3544		6049		3938		3623		5984		3905		2542		3507		3619		2495		
6021		5876		3521		6016		3914		3595		5984		3919		2519		3544		3609		2533		
6007		5904		3530		6030		3923		3600		5923		3914		2514		3544		3600		2566		
6030		5965		3539		6044		3881		3595		5942		3909		2500		3530		3619		2505		
6016		5942		3521		6012		3886		Err		5890		3881		2528		3544		Err		2552		
6026		5895		3525		6035		3938		3586		5918		3891		2575		3539		3605		2505		
6021		5956		3548		6035		3881		3609		Err		3938		Err		3525		3614		2486		
6007		5914		3530		6007		3933		3633		5895		3877		2486		3535		3600		2533		
6012		Err		3549		6044		3914		3619		5933		3919		2552		3548		3623		2533		
6021		5951		3548		6021		3928		3619		5984		3914		2500		3544		3609		2533		
6021		5951		3521		Err		3900		3605		5900		3881		2491		3535		3600		2505		
6012		5895		3511		6040		3909		3628		5881		3895		2509		3511		3619		2556		
6049		5848		3516		5993		3877		3633		5914		3881		2524		3548		3605		2561		
6012		5914		3539		6035		3872		3605		5923		3947		2524		3548		3614		Err		
5984		5867		3567		5998		3970		3590		5909		3900		Err		3553		3609		2538		
5988		5956		3548		6040		3905		3614		5918		3919		2631		3539		3619		2528		
Err		5989		3548		6021		3909		3619		5984		3914		2509		3544		3600		2538		
5965		5947		3544		5988		3886		3614		5900		3938		2542		3544		3619		2528		
6016		5970		3544		6016		3914		3609		5975		Err		2472		3553		3605		2519		
6012		5998		3502		5979		3877		3605		5947		3872		2491		Err		3614		2491		
5998		6030		3549		5989		3895		3609		5956		3886		2533		3567		3605		2561		
6002		5951		3544		5970		3900		3614		6049		3891		2509		3544		3633		2519		
6021		Err		3521		5993		3919		3637		5988		3905		2495		3530		3595		2486		
5984		5890		3530		5979		Err		Err		5904		3914		2533		3530		3609		2505		
6040		5820		3553		5984		3919		3614		5909		Err		2486		Err		3609		2519		
6021		5984		3549		5993		3942		3647		5914		3900		2500		3502		3609		2524		
6012		5904		3539		5979		3891		3642		5984		3928		2514		3525		Err		2500		
6002		5937		3548		5984		3905		3595		5904		3923		2547		Err		3595		2505		
5993		5965		3567		5984		3909		3600		5876		3933		2509		3567		3605		2533		
6002		Err		3535		5988		Err		3623		5937		3872		2500		3548		3595		2509		
